Ice Cream Factory At Riverplace,6,4,$,37.0879199,-88.5947599,Paducah,KY,25024,10
Sweet CeCe's,6,3,$$,37.07621581,-88.68599653,Paducah,KY,25024,10
Culver's,5,4,$,37.0710356,-88.70375376,Paducah,KY,25024,10
718BrewCafe,12,5,$,37.154093,-88.730771,Metropolis,IL,6537,9
Dairyette Plus,15,4.5,$,37.03592,-88.66488,Paducah,KY,25024,9
Dippin' Dots Treatery,1,5,$$,37.07149,-88.69849,Paducah,KY,25024,10
Dairy Queen,4,4.5,$,37.0831013,-88.6378497,Paducah,KY,25024,10
Dippin' Dots,1,5,N/A,37.09270096,-88.67563629,Paducah,KY,25024,10
Dairy Queen,2,1,N/A,37.1490815,-88.7278701,Metropolis,IL,6537,10
Dairy Queen,4,3.5,$,37.415165,-88.875674,Vienna,IL,1434,2
Dairy Queen,5,1.5,$,36.75329366,-88.63878429,Mayfield,KY,10024,4
Huddle House,2,2.5,$,36.73019,-88.63219,Mayfield,KY,10024,4
Adams Breezy Hill Farm,13,4,$$,37.08295788,-87.87973515,Princeton,KY,6329,1
Tangy Roots Frozen Yogurt,6,3.5,$,36.84111446,-87.48307072,Hopkinsville,KY,31577,1
88 Dip,10,4.5,$,37.33980179,-88.07920837,Marion,KY,3039,2
Stakz Self-Serve Frozen Yogurt,10,5,$,36.96129881,-86.43186812,Bowling Green,KY,58067,9
Bru Ster's Real Ice Cream,13,4.5,$,36.94816,-86.42333,Bowling Green,KY,58067,9
Chaney's Dairy Barn,39,4,$,36.8837,-86.52561,Bowling Green,KY,58067,8
Popworks,4,4,N/A,36.971309,-86.433532,Bowling Green,KY,58067,9
Freddys,26,3.5,$,36.94474,-86.42141,Bowling Green,KY,58067,8
Frosty Freeze,6,4,$,36.7147604,-86.57698296,Franklin,KY,8408,3
Baskin Robbins,2,5,$,36.9793544,-86.4518355,Bowling Green,KY,58067,9
Thomas Drugs,11,4.5,$,36.54863,-86.697029,Cross Plains,TN,1714,2
Dairy Queen,2,1,$,36.9600983,-86.4688492,Bowling Green,KY,58067,9
La Michoacana Gourmet,1,5,N/A,37.06340503,-86.44757001,Bowling Green,KY,58067,7
Crave Frozen Yogurt Cafe,2,2,N/A,36.94861826,-86.42655294,Bowling Green,KY,58067,9
Banana Boats,2,2.5,$$,36.59976959,-86.53407288,Portland,TN,11480,2
The Frozen Spoon,1,5,N/A,36.72209403,-86.57832672,Franklin,KY,8408,2
Dairy Queen,2,3.5,$,37.43114108,-86.88430768,Beaver Dam,KY,3409,2
Columbia Dairy Dip,1,4,N/A,37.095015,-85.302705,Columbia,KY,4452,1
Dairy Queen,2,2.5,$,37.2576297,-85.5030783,Greensburg,KY,2163,5
Daddy Yo's Frozen Yogurt,2,3,$,37.34230611,-85.36690322,Campbellsville,KY,9108,5
Dairy Queen,4,4.5,$$,37.2894783,-85.90189362,Munfordville,KY,1615,2
Tasty Foods,1,4,N/A,36.7932404,-85.3692077,Burkesville,KY,1521,1
Baskin Robbins,1,5,$$,37.3452398,-85.3700865,Campbellsville,KY,9108,5
Daddy Yo's Frozen Yogurt,5,4,$,37.11005457,-84.08896768,London,KY,7993,4
Froyoz,1,2,N/A,36.95733123,-84.06989202,Corbin,KY,7304,2
Baskin-Robbins,2,4.5,$,37.0430412,-84.625946,Somerset,KY,11196,2
Huddle House,4,4,N/A,37.14078,-84.08534,London,KY,7993,4
Dunkin' Donuts & Baskin Robbins,1,5,$,37.10776694,-84.08713259,London,KY,7993,4
Culver's,6,3,$,37.08408349,-84.61736899,Somerset,KY,11196,2
Dairy Queen,3,1.5,$,37.10557631,-84.07458687,London,KY,7993,4
Dairy Queen,4,2.5,$$,36.97428739,-84.10263149,Corbin,KY,7304,2
Dairy Queen,5,1.5,$,36.72570584,-84.17042758,Williamsburg,KY,5245,2
SweetFrog Premium Frozen Yogurt,3,4.5,$,37.2821617,-83.2272339,Hazard,KY,4456,5
Dairy Queen,2,4,N/A,37.25406348,-83.19986775,Hazard,KY,4456,5
Huddle House Restaurant,3,2.5,$,36.8438678,-83.3233049,Harlan,KY,1745,1
Huddle House of Pennington Gap,3,3.5,N/A,36.74964142,-83.04701996,Pennington Gap,VA,1781,2
Spencer's Dairy Bar,6,4,$,37.4437561,-83.63851166,Booneville,KY,81,2
Fro-Jo's Frozen Yogurt,1,3,N/A,37.2813752,-83.23036945,Hazard,KY,4456,5
149 Sweets,7,4.5,N/A,36.70888787,-81.9803657,Abingdon,VA,8191,12
The Southern Churn,3,3.5,$,36.5951195,-82.1842804,Bristol,VA,17835,8
