Ab. Y Paleteria La Chaparrita,1,4.0,N/A,23.6345012367459,-102.552784122527,Taylor Lake Village,TX
Spin Frozen Yogurt,30,4.5,$,26.1416542,-81.7980452,Naples,FL
2 Scoops & Sprinkles,27,5.0,$,26.5531010995711,-81.8710881958396,Fort Myers,FL
Scoops and Slices,17,3.0,$$,26.5275145322084,-82.1918535232544,Captiva,FL
Schnapper's Hots,136,4.0,$,26.4430049661943,-82.0541717032899,Sanibel,FL
Tipsy Cow,26,5.0,$,26.371421,-81.8066463,Bonita Springs,FL
Handel's Homemade Ice Cream & Yogurt,38,4.0,$,26.3886222839355,-81.8086547851562,Bonita Springs,FL
Rita's Italian Ice,43,4.5,$,26.1712119667594,-81.8008611852727,Naples,FL
The Goodz,12,5.0,$,26.451019,-81.948669,Fort Myers Beach,FL
Truly Scrumptious,83,3.5,$$,26.41432,-81.89987,Fort Myers Beach,FL
Sanibel Deli and Coffee Factory,67,4.0,$,26.4373547715012,-82.0769651439324,Sanibel,FL
Ben & Jerry's,8,4.0,$,26.1974975551548,-81.8118135467481,Naples,FL
Haagen Dazs Shop,10,4.5,$$,26.21314,-81.803495,Naples,FL
Ice Screamin',38,3.5,$,26.5623,-81.96266,Cape Coral,FL
Sun Harvest Citrus,115,4.5,$$,26.5275235781313,-81.8530168706422,Fort Myers,FL
Regina's Ice Cream Pavilion,34,3.0,$,26.1414909,-81.7957764,Naples,FL
Dairy Queen,41,3.0,$,26.44648,-82.04183,Sanibel,FL
Pavilion Royal Scoop,8,4.5,$,26.2519846047408,-81.8047287960587,Naples,FL
Yogurt Mountain,12,4.0,$,26.40697,-81.80952,Estero,FL
Menchie's Frozen Yogurt,12,4.0,$,26.54592,-81.86808,Fort Myers,FL
Santiva General Store,8,3.0,$$,26.4799180626869,-82.1806304901838,Sanibel,FL
Yogurbella,28,2.5,$$$,26.25245,-81.7975,Naples,FL
DIY Yogurt,10,4.0,$,26.5625547,-81.9462715,Cape Coral,FL
Simply Eats & Treats,23,3.5,$,26.545478,-81.907452,Fort Myers,FL
The cone-twisty Treat,6,3.5,$,26.3314357658755,-81.8023181063515,Bonita Springs,FL
Mr G's House of 2000 Flavors,10,3.5,$$,26.453446,-81.9559312,Fort Myers Beach,FL
Sushi Thai of Naples,166,3.5,$$,26.2653399,-81.80229,Naples,FL
Magic City Slush,3,4.5,$$,26.4520829,-81.953616,Fort Myers Beach,FL
Sanibel Scoop,2,3.5,N/A,26.43568,-82.07784,Sanibel,FL
Tcby Yogurt,4,3.5,$$,26.4046800881624,-81.808472648263,Estero,FL
Marble Slab Creamery,7,3.0,$$,26.4072451,-81.8084853,Estero,FL
DQ Grill & Chill,5,4.0,$,26.1563739776611,-81.7965850830078,Naples,FL
Culver's,16,3.5,$,26.561718191347,-81.9456032592773,Cape Coral,FL
Häagen-Dazs Shop,6,3.5,$$,26.4041951848381,-81.8071770671793,Estero,FL
Sundaes Ice Cream Parlour,1,5.0,$,26.4697866,-81.794627,Fort Myers,FL
Dairy Queen At Fort Myers Beach,12,2.5,$,26.452804,-81.956176,Fort Myers Beach,FL
Cold Stone Creamery,7,3.5,$$$,26.544899650912,-81.868584381207,Fort Myers,FL
Second Cup Coffee,5,4.0,N/A,26.25404,-81.82241,Naples,FL
Wilton Creamery,194,5.0,$$,26.1574982155293,-80.1368958503008,Wilton Manors,FL
Razzleberry's Icecream,86,4.5,$,26.2318452447653,-80.0902696698904,Pompano Beach,FL
Yo Mama's Ice Cream,127,4.5,$$,26.136961,-80.103953,Fort Lauderdale,FL
Chill-N Nitrogen Ice Cream - Fort Lauderdale,118,4.5,$$,26.1564905941486,-80.1175758987665,Fort Lauderdale,FL
Frosty Point Ice Cream Parlor,38,4.5,$,26.2754299,-80.0961326,Lighthouse Point,FL
Jaxson's Ice Cream Parlor and Restaurant,859,4.0,$$,26.049298,-80.1437434,Dania Beach,FL
Sloan's Ice Cream,75,4.0,$$,26.1894919380767,-80.0964765999665,Lauderdale By the Sea,FL
Sprinkles & Scoops,26,4.5,$,26.3532770918376,-80.1132351147826,Boca Raton,FL
Uncle Louie G,35,4.5,$,40.7146609,-73.9445708,Brooklyn,NY
Cherry Smash,318,4.5,$$,26.28635,-80.23273,Coral Springs,FL
Dairy Belle Ice Cream,170,4.5,$,26.0546494,-80.1433334,Dania Beach,FL
Menchie's Frozen Yogurt,48,4.5,$,26.1597666719071,-80.1320457458496,Wilton Manors,FL
Kilwin's,89,4.0,$$,26.190448,-80.097696,Fort Lauderdale,FL
CREAM,122,4.0,$,25.9487966,-80.1464952,Aventura,FL
Glyk Gelato,132,5.0,$$,26.323579014657,-80.2040964228927,Parkland,FL
Cream Linton,65,4.0,$$,26.4395351,-80.0782642,Delray Beach,FL
Mimi Frozen Yogurt,136,4.5,$,25.8565116673708,-80.1205464452505,Miami Beach,FL
Chill-N Nitrogen Ice Cream Aventura,108,4.5,$,25.9411130128313,-80.1478654587219,Aventura,FL
Siciliano's Frozen Custard,92,4.5,$,26.0102449,-80.2064354,Hollywood,FL
Cream Parlor,197,5.0,$$,25.8506488,-80.1848649,Miami,FL
Pops Corn,20,5.0,$,26.136947,-80.103984,Fort Lauderdale,FL
Hoffman's Chocolates,33,5.0,$$,26.1191549152136,-80.1336973160505,Fort Lauderdale,FL
Brrrr! Thai-Style Rolled Ice Cream,20,4.5,$$,25.849906985432,-80.1204566524567,Miami Beach,FL
Cool Spot Ice Cream Rolls & Tea,61,4.5,$,26.5507194833374,-80.0767659795996,Boynton Beach,FL
The Frieze,287,4.5,$,25.7900402,-80.1389149,Miami Beach,FL
Sloan's Ice Cream,59,4.5,$$,26.46192,-80.07164,Delray Beach,FL
Sloan's,72,4.0,$$,26.3537187874317,-80.0854497402906,Boca Raton,FL
FY&I Frozen Yogurt & Ice Cream,28,4.5,$,26.4620399,-80.070903,Delray Beach,FL
Chill-N Nitrogen Ice Cream - Coral Springs,43,4.0,$$,26.2831188980635,-80.2037878211792,Coral Springs,FL
Surf N Spray,22,4.5,$,26.0208613425493,-80.1151994615793,Hollywood,FL
Fro-Yo Frenzy,24,4.0,$,26.3467147,-80.0847293,Boca Raton,FL
Kilwin's,96,4.5,$$,26.4614968263839,-80.0688314437866,Delray Beach,FL
Yogurt Emporium,49,4.0,$,26.3326034545898,-80.1381912231445,Boca Raton,FL
La Gelateria Della Musica,17,5.0,$$,26.3478608429432,-80.0838477909565,Boca Raton,FL
Kilwin's,48,3.5,$$,26.3159335,-80.0781476,Deerfield Beach,FL
Cecilies Gourmet Italian Ices - Boca Raton,22,4.5,$,26.3659700477663,-80.0906599313021,Boca Raton,FL
Mr. Kream,91,4.5,$$,25.800199,-80.195291,Miami,FL
Snoballs,53,5.0,$,26.035827,-80.218532,Hollywood,FL
The Boardwalk Italian Ice & Creamery,70,4.0,$,26.5281753540039,-80.0584487915039,Boynton Beach,FL
Taiwan Ice,54,4.5,$,25.9248502752998,-80.153533847252,North Miami Beach,FL
Brendy's Of The Palm Beaches,31,4.5,$$,26.4915104724243,-80.1655914482677,Boynton Beach,FL
16 Handles,48,4.0,$,26.365637,-80.112536,Boca Raton,FL
Yogurt Craze,50,4.5,$,26.3215251088476,-80.2030657263641,Parkland,FL
Yogurt My Way,34,3.0,$$,26.1196330412212,-80.1045631617308,Fort Lauderdale,FL
Phenomenom,48,4.5,$$,26.400838,-80.120518,Boca Raton,FL
Gelato-go South Beach,166,4.5,$$,25.774311,-80.1322684,Miami Beach,FL
Vaniglia & Cioccolato,25,4.5,$,25.9314496621809,-80.134791764559,North Miami Beach,FL
Serendipity Yogurt Cafe,45,4.0,$,25.884507,-80.123186,Surfside,FL
DiY Frozen Yogurt,40,4.5,$,26.5144151,-80.0614231,Boynton Beach,FL
Chi-Town Chicago Italian Beef & Hot Dogs,62,4.5,$,26.2109534940696,-80.118243098259,Pompano Beach,FL
Cool Breeze,1,3.0,N/A,26.9093102158809,-99.272812997973,Zapata,TX
Dairy Queen,2,4.0,N/A,27.2211406962815,-98.1451730463328,Falfurrias,TX
The Ice Cream Place,19,4.5,$,26.9334,-82.2420278,Port Charlotte,FL
Harborwalk Scoops & Bites,34,4.5,$,26.939421,-82.050537,Punta Gorda,FL
Lickity Split Cafe,19,4.5,$,26.9353084564209,-82.3128814697266,Englewood,FL
Working Cow Ice Cream & Eatery,24,5.0,$,26.9268,-82.04821,Punta Gorda,FL
Zoet Sweet Boutique,20,5.0,$,26.94829,-81.99857,Punta Gorda,FL
A Better Scoop Ice Cream Shoppe,34,4.5,$$,26.96041,-82.35338,Englewood,FL
Swirls-N-Curls Icecream,16,4.0,$$,26.932,-82.27216,Englewood,FL
Loose Caboose Restaurant,77,3.5,$$,26.75104,-82.26177,Boca Grande,FL
Sweet Scoops Ice Cream,39,4.0,$$,27.029369,-82.199859,Port Charlotte,FL
Cape Creamery,33,5.0,$,26.5632356662889,-82.0100025126062,Cape Coral,FL
Venice Avenue Creamery,42,4.5,$$,27.0997121,-82.4474102,Venice,FL
Zirilli's Chilly Treats,25,5.0,$,26.6420595266023,-81.9960817694664,Cape Coral,FL
Cubby's Homemade Ice Cream,29,3.5,$,26.93468,-82.05231,Punta Gorda,FL
Love Boat Ice Cream,258,4.5,$,26.5060787200928,-81.9422302246094,Fort Myers,FL
Great Licks Ice Cream Shop,24,4.5,$,26.62815,-82.071647,Matlacha,FL
Daddy Dee's Ice Cream Parlor,34,4.5,$,26.6599,-81.88466,North Fort Myers,FL
2 Scoops & Sprinkles,27,5.0,$,26.5531010995711,-81.8710881958396,Fort Myers,FL
Bob's Twist and Shake Ice Cream,13,4.5,$$,27.1060798818708,-82.4352885485535,Venice,FL
Bentley's Homemade Ice Cream,14,4.5,$,27.0504033080902,-82.4066818550119,South Venice,FL
Sweet Melissa's Ice Cream,7,5.0,$,27.12582,-82.46503,Nokomis,FL
Scoops Working Cow Ice Cream Shop,10,4.0,$,27.0639268308878,-82.4178805947304,Venice,FL
Fresh & Fresh Café Gelato World,4,5.0,$,26.9918632507324,-82.1115646362305,Port Charlotte,FL
Scoops and Slices,17,3.0,$$,26.5275145322084,-82.1918535232544,Captiva,FL
Yo Fresh Yogurt Cafe,13,4.0,$$,27.0499749,-82.3952289,Venice,FL
Best Ice Cream,32,4.5,$$,26.6052399,-81.867,Fort  Myers,FL
Ice Cream Club of Cape Coral,13,4.0,$,26.607684058903,-82.0256817340882,Cape Coral,FL
The Skinny Dip Frozen Yogurt Bar,19,5.0,$,27.229609,-82.494138,Sarasota,FL
Island Life Yogurt,2,5.0,N/A,26.9276275634766,-82.0639343261719,Punta Gorda,FL
The Shiver Shack,12,3.5,$,27.0687864004126,-82.2089571531637,North Port,FL
Hot Fudge Shoppe,1,5.0,$$,27.2158230096102,-81.8617178499699,Arcadia,FL
Nokomis Groves,51,4.0,$,27.1235313415527,-82.4340057373047,Nokomis,FL
Ciao Gelato,47,4.0,$$,27.09957,-82.44848,Venice,FL
Ice Screamin',38,3.5,$,26.5623,-81.96266,Cape Coral,FL
The Soda Fountain,53,3.0,$$,27.0997651,-82.4495552,Venice,FL
Twistee Treat,12,4.0,$,26.68319,-81.88522,Nort fort myers,FL
Dairy Queen of Kings Highway,5,4.0,$,27.0167140960693,-82.0524597167969,Port Charlotte,FL
Scoops on First,13,4.0,$,26.6443730750747,-81.8692407945522,Fort Myers,FL
Sub Zero Ice Cream & Yogurt,48,4.0,$$,27.2693713009357,-82.487774938345,Sarasota,FL
Kilwin's Chocolates & Ice Cream of Venice,25,3.5,$$,27.0996,-82.4458499,Venice,FL
Sun Harvest Citrus,115,4.5,$$,26.5275235781313,-81.8530168706422,Fort Myers,FL
Sidecar Treats,15,4.5,$,26.64401,-81.86987,Fort Myers,FL
Big Olaf Ice Cream & Coffee Caffe,8,4.5,N/A,27.07972,-82.38731,Venice,FL
Menchie's Frozen Yogurt,12,4.0,$,26.54592,-81.86808,Fort Myers,FL
DIY Yogurt,10,4.0,$,26.5625547,-81.9462715,Cape Coral,FL
Menchies Frozen Yogurt,5,4.0,$,26.6702575683594,-81.9345321655273,Cape Coral,FL
Simply Eats & Treats,23,3.5,$,26.545478,-81.907452,Fort Myers,FL
Dairy Queen,5,4.0,$,26.98171,-82.09958,Port Charlotte,FL
