Green Table Cafe,1,5.0,N/A,37.34697,-108.29209,Mancos,CO
Dairy Queen,3,2.0,N/A,36.7327651977539,-108.193199157715,Farmington,NM
Dairy Queen,3,3.0,$,37.348316192627,-108.57063293457,Cortez,CO
Dairy Queen,6,3.5,$,36.711662,-107.988418,Bloomfield,NM
Dairy Queen,1,1.0,N/A,36.82838,-107.98595,Aztec,NM
PS Fro Yo,8,4.5,$,37.26728,-107.01209,Pagosa Springs,CO
The Peak Deli,86,5.0,$,37.267938620038,-107.00997348135,Pagosa Springs,CO
Tutti Scoops,6,4.5,$,37.1693281,-104.5059804,Trinidad,CO
Dairy Queen,3,2.0,$$,36.626,-102.37785,Boise City,OK
Braum's,8,3.5,$,36.6974,-101.48365,Guymon,OK
Smrcka's Dairy Snack,2,5.0,$,36.8107833954082,-97.7338006435,Medford,OK
Braum's Ice Cream & Dairy Stores,7,3.5,$,36.7346992492676,-97.0679092407227,Ponca City,OK
Braum's Ice Cream and Dairy Store,7,3.0,$,37.2403793781996,-96.9917873293161,Winfield,KS
Cherry Berry,1,4.0,$$,36.737739,-97.066505,Ponca City,OK
Sonic Drive-In,3,2.5,N/A,37.0802,-97.03962,Arkansas City,KS
Braum's Ice Cream & Dairy Stores,2,4.0,N/A,37.03341,-95.64306,Coffeyville,KS
Jared's Frozen Custard,8,3.5,$$$,36.7279748618603,-95.925555601716,Bartlesville,OK
Freddy's Frozen Custard & Steakburgers,2,4.0,$,36.7206230996557,-95.9356359778319,Bartlesville,OK
Braum's Ice Cream & Dairy Store,1,4.0,$$,37.2230488539327,-95.704350467541,Independence,KS
Braum's Ice Cream & Dairy Stores,2,2.5,$,36.74534,-95.93197,Bartlesville,OK
Linger Longer Antiques,2,5.0,$$$,36.7999610900879,-95.9366226196289,Dewey,OK
Braum's Ice Cream & Dairy Stores,4,2.5,$,36.7121085,-95.9352549,Bartlesville,OK
Andy's Frozen Custard,31,4.5,$,37.057392,-94.4784369,Joplin,MO
All Aboard Ice Cream,6,5.0,$,37.0199485506142,-94.5147544867146,Joplin,MO
Sweet Caroline's Cream & Coffee,11,3.5,$,37.079206,-94.513367,Joplin,MO
Carthage Deli & Ice Cream,9,4.5,$,37.1768732,-94.3110501,Carthage,MO
Culver's,7,4.0,$,37.1406092,-94.4746051,Webb City,MO
Orange Leaf Frozen Yogurt,9,3.0,$$,37.06396,-94.47911,Joplin,MO
